ID;Employment_Status;Employment_Status_Aggregated;Work_as_Contractor_12m;Work_as_Perm;Residence_Country;Residence_District;Residence_District_Aggregated;Work_Company_Country;Work_Company_Continent;Work_Company_PT_International;Work_Company_PT_District;Work_Company_PT_District_Aggregated;Remote_Working_Current;Remote_Working_Current_Flexible_Office_Days;Remote_Working_due_to_Covid;Job_Remote_or_Office;Remote_Work_Opinion;Job_Role_Original;Job_Role_Other;Job_Role;Employer_Industry;Employer_Industry_Other;Employer_Org_Type;Employer_Org_Type_Other;Employer_Size;Language_JavaScript;Language_Bash/Shell/PowerShell;Language_SQL;Language_Java;Language_C#;Language_Python;Language_PHP;Language_C++;Language_C;Language_TypeScript;Language_Ruby;Language_Swift;Language_Objective-C;Language_VB.NET;Language_Assembly;Language_R;Language_Perl;Language_VBA;Language_Matlab;Language_Go;Language_Scala;Language_Groovy;Language_Coffee Script;Language_Visual Basic 6;Language_Lua;Language_Haskell;Language_HTML/CSS;Language_Kotlin;Language_Rust;Language_Elixir;Language_Clojure;Language_WebAssembly;Language_Dart;Language_Languages_N/A;Language_Languages_Other;Framework_jQuery;Framework_.NET;Framework_Angular/Angular.js;Framework_Ruby on Rails;Framework_React;Framework_Django;Framework_Laravel;Framework_Spring;Framework_Vue.js;Framework_Express;Framework_Meteor;Framework_Flask;Framework_Ember.js;Framework_Drupal;Framework_OutSystems;Framework_Framework_N/A;Framework_Framework_Other;Contractor_Avg_Project;Contractor_Avg_Project_Intervals;Contractor_Avg_Hour_Rate;Contractor_Avg_Annual_Salary;Perm_Current_Company_how_long;Perm_GAS;Perm_GAS_Avg;Perm_GAS_Low_Limit;Perm_GAS_High_Limit;Avg_Salary;Salary_Change;Salary_Fairness;Changing_Jobs_next_6_months;Job_Motivator_Work_life_balance;Job_Motivator_Compensation_and_benefits;Job_Motivator_Training/Development_programs_at_work;Job_Motivator_Career_growth_opportunities;Job_Motivator_Remote_working;Job_Motivator_Flexible_schedule;Job_Motivator_Company_culture;Job_Motivator_The_technologies_I'm_working_with;Job_Motivator_Versatility/Variety_of_projects;Job_Motivator_Freedom_to_choose_the_clients_and/or_projects;Job_Motivator_Being_autonomous_at_work;Job_Motivator_How_widely_used_or_impactful_the_product/service_I_work_on_is;Job_Motivator_Environmentally_friendly/responsible_work_practice;Job_Perk_Meals_allowance/Company_provided_meals_or_snacks;Job_Perk_Transportation_benefit;Job_Perk_Health_benefits;Job_Perk_Fitness_or_wellness_benefit_(ex._gym_membership);Job_Perk_Computer/_Office_equipment_allowance;Job_Perk_Professional_development_sponsorship;Job_Perk_Annual_bonus;Job_Perk_Long-term_leave;Job_Perk_Parental_leave;Job_Perk_Stock_options_or_shares;Job_Perk_Education_sponsorship;Job_Perk_Child_care;Citizenship;Birth_Year;Age;Gender;English_Level;Way_Into_Tech;Way_Into_Tech_Other;Education_Level;Working_Experience;Working_Experience_Aggregated
11;Employed full-time;Permanent Employee;0;;Portugal;Porto;Porto Metropolitan Area;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;6;Full-Stack Developer;;Full-Stack Developer;Retail or ecommerce;;Corporate;;More than 5.000 employees;;;SQL;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oracle Forms & PRO*C;;;;;Less than one year;< €15.000;12500;0;15000;12500;Hasn't changed;7;1;7;6;6;7;6;3;6;6;4;4;6;5;7;6;6;7;6;7;6;7;6;6;3;6;5;Portuguese;1996;25;Male;Full professional proficiency;University;;Bachelor degree;Less than 1 year;0 - 3 years
12;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Flexible between remote and office;1;Working remote because of Covid-19;Full Office Job;5;Technical Team Leader;;Technical Team Leader;Government or public administration;;;Public Adminstration;100 - 499 employees;;;;Java;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Spring;;;;;;;;;;;;;;More than 3 years;€45.000 - €50.000;47500;45000;50000;47500;]0%, 5%];4;1;6;4;3;4;4;6;6;5;4;4;6;5;5;5;5;5;3;5;4;3;4;5;3;4;5;Portuguese;1976;45;Male;Full professional proficiency;University;;Bachelor degree;More than 9 years;6+ years
13;Employed full-time;Permanent Employee;0;;Portugal;Viseu;Centre;Portugal;Europe;Portugal;Viseu;Centre;No, full office job;;;Full Office Job;6;;OutSystems Developer;Business Applications (BI/CRM/ERP);Consulting;;Corporate;;1000 - 4.999 employees;;;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;Between 1 - 3 years;< €15.000;12500;0;15000;12500;Hasn't changed;1;5;7;7;7;7;7;7;5;5;5;4;5;4;6;5;5;7;5;7;5;6;6;4;4;5;5;Portuguese;1996;25;Male;Limited working proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
14;Employed full-time;Permanent Employee;1;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Flexible between remote and office;5;Working remote because of Covid-19;Full Office Job;4;;Digital Analytics Engineer;Data Scientist/Data Engineer;;Automotive;"Scale-up (fast growing company aka ""unicorn"")";;100 - 499 employees;JavaScript;;SQL;;;Python;PHP;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;Less than one year;€40.000 - €45.000;42500;40000;45000;42500;Hasn't changed;4;3;7;6;7;7;5;6;4;4;6;6;6;5;4;5;5;7;5;5;7;7;5;7;2;7;7;Portuguese;1991;30;Female;Native or bilingual proficiency;Self-taught;;Bachelor degree;Between 6 - 9 years;6+ years
15;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;UK;Europe;International;;;Flexible between remote and office;1;My job is remote (full or flexible) by definition;Remote Job (full or flexible);4;Technical Team Leader;;Technical Team Leader;Financial and banking;;Corporate;;1000 - 4.999 employees;;;SQL;;C#;;;;;;;;;;;;;;;;;;;;Lua;;HTML/CSS;;;;;;Dart;;;;.NET;Angular/Angular.js;;React;;Laravel;;Vue.js;;;;;;;;;;;;;Less than one year;€55.000 - €60.000;57500;55000;60000;57500;]0%, 5%];3;3;7;7;5;7;7;7;7;7;7;4;7;7;7;7;5;7;3;7;5;7;6;7;7;4;7;Portuguese;1992;29;Male;Native or bilingual proficiency;Self-taught;;High School Education;More than 9 years;6+ years
16;Employed full-time;Permanent Employee;0;;Portugal;Viseu;Centre;Portugal;Europe;Portugal;Viseu;Centre;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;5;Business Applications (BI/CRM/ERP);;Business Applications (BI/CRM/ERP);Consulting;;SME - Small or Medium Enterprise (personnel <250);;100 - 499 employees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DAX and M;;;;;;;;;;;;;;;;N/A;;;;;;Between 1 - 3 years;< €15.000;12500;0;15000;12500;Hasn't changed;1;5;7;7;7;7;7;7;7;7;7;7;7;7;7;4;7;7;4;7;7;7;7;7;7;7;7;Portuguese;1994;27;Female;Professional working proficiency;Self-taught;;Bachelor degree;Between 1 - 3 years;0 - 3 years
17;Employed full-time;Permanent Employee;1;;Portugal;Braga;North;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);6;Front-End Developer;;Front-End Developer;Energy or utilities;;Nearshore (outsource business processes to companies in a nearby country);;10 - 19 employees;JavaScript;Bash/Shell/PowerShell;SQL;Java;;;;;;TypeScript;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;Angular/Angular.js;;;;;;;;;;;;;;;;;;;Less than one year;€35.000 - €40.000;37500;35000;40000;37500;Increased more than 15%;7;2;6;7;5;5;6;6;7;7;5;4;5;4;4;7;4;5;5;7;6;7;5;7;7;6;7;Portuguese;1990;31;Male;Full professional proficiency;University;;Bachelor degree;Between 3 - 6 years;3 - 6 years
18;Employed full-time;Permanent Employee;1;;Portugal;Porto;Porto Metropolitan Area;Netherlands;Europe;International;;;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;7;Back-End Developer;;Back-End Developer;Retail or ecommerce;;Corporate;;More than 5.000 employees;;;;Java;C#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.NET;;;;;;;;;;;;;;;;;;;;Between 1 - 3 years;€20.000 - €25.000;22500;20000;25000;22500;Increased more than 15%;4;3;6;6;6;6;7;5;6;6;6;5;7;6;6;6;7;6;6;7;6;6;5;6;6;5;4;Portuguese;1990;31;Male;Full professional proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
19;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;4;Technical Team Leader;;Technical Team Leader;Software as a service (saas) development;;Corporate;;More than 5.000 employees;JavaScript;Bash/Shell/PowerShell;SQL;Java;;Python;PHP;;;TypeScript;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;Angular/Angular.js;;;Django;Laravel;;;Express;;Flask;;;;;;;;;;More than 3 years;€55.000 - €60.000;57500;55000;60000;57500;Hasn't changed;4;3;4;6;5;7;4;6;7;7;7;7;7;6;7;4;5;7;4;7;6;7;4;7;6;5;7;Portuguese;1982;39;Male;Native or bilingual proficiency;University;;Bachelor degree;More than 9 years;6+ years
20;Employed full-time;Permanent Employee;1;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Flexible between remote and office;3;Working remote because of Covid-19;Full Office Job;6;DevOps Engineer;;DevOps Engineer;Cloud-based solutions or services;;SME - Small or Medium Enterprise (personnel <250);;20 - 99 employees;;Bash/Shell/PowerShell;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;Less than one year;€35.000 - €40.000;37500;35000;40000;37500;]5%,15%];4;3;7;7;7;5;5;5;7;5;5;5;5;5;7;5;5;5;5;7;7;7;4;4;4;4;4;Portuguese;1981;40;Male;Full professional proficiency;University;;Bachelor degree;More than 9 years;6+ years
21;Working as a Contractor/Freelancer;Contractor;;1;Portugal;Viana do Castelo;North;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);7;Front-End Developer;;Front-End Developer;Internet;;SME - Small or Medium Enterprise (personnel <250);;20 - 99 employees;JavaScript;;SQL;;;;PHP;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;jQuery;;;;;;Laravel;;Vue.js;;;;;;;;;2;Less than 3 months;30;48000;;;;;;48000;Hasn't changed;2;5;4;5;4;6;7;3;5;5;5;3;5;5;5;5;4;6;2;6;4;5;6;3;3;5;1;Portuguese;1978;43;Male;Limited working proficiency;Self-taught;;Bachelor degree;More than 9 years;6+ years
22;Employed full-time;Permanent Employee;1;;Portugal;Madeira;Azores and Madeira;Portugal;Europe;Portugal;Madeira;Azores and Madeira;Flexible between remote and office;3;Working remote because of Covid-19;Full Office Job;5;Front-End Developer;;Front-End Developer;Financial and banking;;Consulting Business;;100 - 499 employees;JavaScript;;;;;;;;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;jQuery;;;;React;;;;;;;;;;;;;;;;;More than 3 years;€15.000 - €20.000;17500;15000;20000;17500;]0%, 5%];2;4;5;5;6;7;4;5;6;7;4;3;5;7;6;5;5;5;4;4;5;5;6;6;2;5;4;Portuguese;1992;29;Male;Limited working proficiency;University;;Bachelor degree;Between 3 - 6 years;3 - 6 years
23;Employed full-time;Permanent Employee;0;;Portugal;Braga;North;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Flexible between remote and office;5;Working remote because of Covid-19;Full Office Job;4;Data Scientist/Data Engineer;;Data Scientist/Data Engineer;Consulting;;Consulting Business;;100 - 499 employees;;Bash/Shell/PowerShell;SQL;Java;;Python;;;;;;;;;;;;;;;Scala;;;;;;;;;;;;;;;;;;;;;;Spring;;;;;;;;;;;;;;Less than one year;€15.000 - €20.000;17500;15000;20000;17500;]5%,15%];5;3;7;7;7;7;4;5;6;6;5;3;6;5;6;6;4;5;4;7;7;7;5;6;4;5;6;Portuguese;1998;23;Male;Full professional proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
24;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;6;Full-Stack Developer;;Full-Stack Developer;Telecommunications;;Consulting Business;;1000 - 4.999 employees;JavaScript;Bash/Shell/PowerShell;SQL;Java;;;;;C;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;;;;;;Spring;Vue.js;;;;;;;;;;;;;Less than one year;€15.000 - €20.000;17500;15000;20000;17500;Hasn't changed;3;4;7;6;6;7;5;5;5;4;4;2;5;4;5;4;4;6;4;7;7;7;6;5;4;4;4;Portuguese;1998;23;Male;Full professional proficiency;University;;Bachelor degree;Less than 1 year;0 - 3 years
25;Employed full-time;Permanent Employee;0;;Portugal;Porto;Porto Metropolitan Area;Portugal;Europe;Portugal;Porto;Porto Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;4;Back-End Developer;;Back-End Developer;Software development - other;;SME - Small or Medium Enterprise (personnel <250);;100 - 499 employees;JavaScript;Bash/Shell/PowerShell;;;C#;;;C++;;;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;.NET;;;;;;;;;;;;;;;;;;;;Between 1 - 3 years;€15.000 - €20.000;17500;15000;20000;17500;]0%, 5%];4;3;6;7;4;3;4;6;3;5;2;4;2;2;1;6;6;7;6;7;4;5;4;6;4;4;4;Portuguese;1998;23;Male;Native or bilingual proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
26;Employed full-time;Permanent Employee;0;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Flexible between remote and office;3;Working remote because of Covid-19;Full Office Job;6;DevOps Engineer;;DevOps Engineer;Financial and banking;;Outsourcing;;100 - 499 employees;;;SQL;Java;;Python;;;;;;;;;;;;;;;;Groovy;;;;;;;;;;;;;;;;;;;Django;;Spring;;;;;;;;;;;;;;Between 1 - 3 years;€20.000 - €25.000;22500;20000;25000;22500;]0%, 5%];3;4;6;6;6;6;6;6;6;6;4;3;5;5;6;5;5;7;6;7;7;7;7;7;6;6;5;Portuguese;1992;29;Male;Full professional proficiency;University;;Bachelor degree;Between 1 - 3 years;0 - 3 years
27;Employed full-time;Permanent Employee;1;;Portugal;Coimbra;Centre;Portugal;Europe;Portugal;Coimbra;Centre;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;5;DevOps Engineer;;DevOps Engineer;Government or public administration;;SME - Small or Medium Enterprise (personnel <250);;100 - 499 employees;JavaScript;Bash/Shell/PowerShell;SQL;Java;;;;;;TypeScript;;;;;;;;;;;;;;;;;HTML/CSS;;;;;;;;;;;Angular/Angular.js;;;;;Spring;;;;;;;;;;;;;;More than 3 years;€20.000 - €25.000;22500;20000;25000;22500;Hasn't changed;1;3;7;7;5;7;5;7;7;5;5;5;5;7;7;7;7;7;7;7;6;5;5;7;4;4;4;Portuguese;1988;33;Male;Full professional proficiency;University;;Bachelor degree;Between 6 - 9 years;6+ years
28;Employed full-time;Permanent Employee;1;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;My job is remote (full or flexible) by definition;Remote Job (full or flexible);7;Product Owner/Product Manager;;Product Owner/Product Manager;;legal;SME - Small or Medium Enterprise (personnel <250);;Less than 10 employees;;;SQL;;C#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.NET;;;;;;;;;;;;;;;;;;;;More than 3 years;€15.000 - €20.000;17500;15000;20000;17500;Hasn't changed;7;1;7;6;7;7;7;7;7;7;7;7;7;6;7;5;6;6;3;7;7;7;7;7;3;6;4;Spanish;1983;38;Female;Limited working proficiency;Self-taught;;Bachelor degree;More than 9 years;6+ years
29;Employed full-time;Permanent Employee;1;;Portugal;Lisboa;Lisbon Metropolitan Area;Portugal;Europe;Portugal;Lisboa;Lisbon Metropolitan Area;Yes, fully remote;;Working remote because of Covid-19;Full Office Job;7;Full-Stack Developer;;Full-Stack Developer;Consulting;;Consulting Business;;20 - 99 employees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Outsystems;;;;;;;;;;;;;;;Outsystems;;Outsystems;;;;;More than 3 years;€15.000 - €20.000;17500;15000;20000;17500;]0%, 5%];5;4;4;4;4;4;7;5;4;6;5;6;6;5;4;3;1;6;6;5;7;7;4;7;4;4;4;Portuguese;1992;29;Male;Professional working proficiency;University;;Bachelor degree;Between 3 - 6 years;3 - 6 years
